Module	Section	Sample Name	Source
FastQC	all_sections	SRR13822274_1_val_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822274_1_val_1_fastqc.zip
FastQC	all_sections	SRR13822275_2_val_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822275_2_val_2_fastqc.zip
FastQC	all_sections	SRR13822281_2_val_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822281_2_val_2_fastqc.zip
FastQC	all_sections	SRR13822279_1_val_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822279_1_val_1_fastqc.zip
FastQC	all_sections	SRR13822281_1_val_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822281_1_val_1_fastqc.zip
FastQC	all_sections	SRR13822275_1_val_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822275_1_val_1_fastqc.zip
FastQC	all_sections	SRR13822282_2_val_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822282_2_val_2_fastqc.zip
FastQC	all_sections	SRR13822276_1_val_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822276_1_val_1_fastqc.zip
FastQC	all_sections	SRR13822280_1_val_1	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822280_1_val_1_fastqc.zip
FastQC	all_sections	SRR13822277_2_val_2	/mnt/afs/prj21c/yukang/CD14000/chenzecheng/TRIM_GALORE/SRR13822277_2_val_2_fastqc.zip
